"Month_Year","Borough_SNT","Count"
2024-01-01,"Hackney",3012
2024-02-01,"Hackney",2860
2024-03-01,"Hackney",2804
2024-04-01,"Hackney",2854
2024-05-01,"Hackney",3187
2024-06-01,"Hackney",2878
2024-07-01,"Hackney",2906
2024-08-01,"Hackney",3074
2024-09-01,"Hackney",3038
2024-10-01,"Hackney",3317
2024-11-01,"Hackney",3239
2020-12-01,"Hammersmith and Fulham",1562
2021-01-01,"Hammersmith and Fulham",1502
2021-02-01,"Hammersmith and Fulham",1468
2021-03-01,"Hammersmith and Fulham",1795
2021-04-01,"Hammersmith and Fulham",1678
2021-05-01,"Hammersmith and Fulham",1901
2021-06-01,"Hammersmith and Fulham",1957
2021-07-01,"Hammersmith and Fulham",1935
2021-08-01,"Hammersmith and Fulham",1701
2021-09-01,"Hammersmith and Fulham",1940
2021-10-01,"Hammersmith and Fulham",1958
2021-11-01,"Hammersmith and Fulham",1987
2021-12-01,"Hammersmith and Fulham",1716
2022-01-01,"Hammersmith and Fulham",1692
2022-02-01,"Hammersmith and Fulham",1718
2022-03-01,"Hammersmith and Fulham",1868
2022-04-01,"Hammersmith and Fulham",1807
2022-05-01,"Hammersmith and Fulham",1845
2022-06-01,"Hammersmith and Fulham",1866
2022-07-01,"Hammersmith and Fulham",1872
2022-08-01,"Hammersmith and Fulham",1970
2022-09-01,"Hammersmith and Fulham",1867
2022-10-01,"Hammersmith and Fulham",1875
2022-11-01,"Hammersmith and Fulham",1732
2022-12-01,"Hammersmith and Fulham",1613
2023-01-01,"Hammersmith and Fulham",1781
2023-02-01,"Hammersmith and Fulham",1772
2023-03-01,"Hammersmith and Fulham",1994
2023-04-01,"Hammersmith and Fulham",1929
2023-05-01,"Hammersmith and Fulham",2176
2023-06-01,"Hammersmith and Fulham",2052
2023-07-01,"Hammersmith and Fulham",2050
2023-08-01,"Hammersmith and Fulham",1965
2023-09-01,"Hammersmith and Fulham",2052
2023-10-01,"Hammersmith and Fulham",2022
2023-11-01,"Hammersmith and Fulham",2020
2023-12-01,"Hammersmith and Fulham",1882
2024-01-01,"Hammersmith and Fulham",1934
2024-02-01,"Hammersmith and Fulham",1916
2024-03-01,"Hammersmith and Fulham",1896
2024-04-01,"Hammersmith and Fulham",1773
2024-05-01,"Hammersmith and Fulham",1855
2024-06-01,"Hammersmith and Fulham",1841
2024-07-01,"Hammersmith and Fulham",1918
2024-08-01,"Hammersmith and Fulham",1960
2024-09-01,"Hammersmith and Fulham",1973
2024-10-01,"Hammersmith and Fulham",2127
2024-11-01,"Hammersmith and Fulham",2068
2020-12-01,"Haringey",2589
2021-01-01,"Haringey",2166
2021-02-01,"Haringey",2099
2021-03-01,"Haringey",2527
2021-04-01,"Haringey",2388
2021-05-01,"Haringey",2706
2021-06-01,"Haringey",2843
2021-07-01,"Haringey",2784
2021-08-01,"Haringey",2679
2021-09-01,"Haringey",2714
2021-10-01,"Haringey",2653
2021-11-01,"Haringey",2640
2021-12-01,"Haringey",2685
2022-01-01,"Haringey",2566
2022-02-01,"Haringey",2436
2022-03-01,"Haringey",2585
2022-04-01,"Haringey",2387
2022-05-01,"Haringey",2736
2022-06-01,"Haringey",2615
2022-07-01,"Haringey",2699
2022-08-01,"Haringey",2523
2022-09-01,"Haringey",2678
2022-10-01,"Haringey",2588
2022-11-01,"Haringey",2612
2022-12-01,"Haringey",2423
2023-01-01,"Haringey",2774
2023-02-01,"Haringey",2506
2023-03-01,"Haringey",2968
2023-04-01,"Haringey",2526
2023-05-01,"Haringey",2701
2023-06-01,"Haringey",2722
